Filename                                 Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
MacIpGateway.h                                10                10     0.00%           9                 9     0.00%          13                13     0.00%           0                 0         -
MacMemory.cpp                                316               151    52.22%          21                 6    71.43%         331               124    62.54%         300               153    49.00%
MacMemory.h                                   48                33    31.25%          42                29    30.95%          73                58    20.55%           4                 3    25.00%
MacVideo.h                                    28                 8    71.43%           7                 5    28.57%          38                16    57.89%          14                 3    78.57%
MachineCatalog.h                              10                10     0.00%           2                 2     0.00%          10                10     0.00%           8                 8     0.00%
MachineFactory.cpp                           160               160     0.00%          10                10     0.00%         159               159     0.00%         128               128     0.00%
MachineHost.h                                194               194     0.00%          35                35     0.00%         365               365     0.00%         148               148     0.00%
MachineSession.cpp                            22                22     0.00%           4                 4     0.00%          29                29     0.00%           6                 6     0.00%
MachineSession.h                               7                 7     0.00%           7                 7     0.00%           7                 7     0.00%           0                 0         -
MoiraCpu.h                                    26                 7    73.08%          20                 4    80.00%          61                 7    88.52%           2                 2     0.00%
MoiraSnapshot.h                                3                 3     0.00%           1                 1     0.00%          27                27     0.00%           2                 2     0.00%
MscCpu.cpp                                    53                18    66.04%           8                 0   100.00%          57                 8    85.96%          36                17    52.78%
MscCpu.h                                       3                 2    33.33%           3                 2    33.33%           6                 5    16.67%           0                 0         -
MscMemory.cpp                                466               120    74.25%          33                 7    78.79%         502               116    76.89%         336               124    63.10%
MscMemory.h                                   67                32    52.24%          34                22    35.29%          79                47    40.51%          28                13    53.57%
Ncr5380.cpp                                  271                64    76.38%          22                 0   100.00%         256                42    83.59%         256                79    69.14%
Ncr5380.h                                     15                 9    40.00%           3                 1    66.67%          16                12    25.00%          10                 8    20.00%
Ncr53c96.cpp                                 374               102    72.73%          25                 0   100.00%         467               107    77.09%         378               128    66.14%
Ncr53c96.h                                    28                 9    67.86%           7                 1    85.71%          31                16    48.39%          18                 9    50.00%
NuBus.cpp                                     95                23    75.79%          15                 7    53.33%          91                32    64.84%          70                33    52.86%
NuBus.h                                        5                 3    40.00%           4                 2    50.00%           6                 4    33.33%           2                 2     0.00%
PapServer.cpp                                175               175     0.00%          13                13     0.00%         256               256     0.00%         144               144     0.00%
PapServer.h                                    4                 4     0.00%           3                 3     0.00%           3                 3     0.00%           0                 0         -
PeripheralWindow.cpp                         129               129     0.00%          10                10     0.00%         194               194     0.00%         110               110     0.00%
PgePmu.cpp                                   242                77    68.18%          24                 4    83.33%         430                67    84.42%         214                73    65.89%
PgePmu.h                                      30                 8    73.33%          13                 5    61.54%          36                17    52.78%          22                 7    68.18%
Pic1654s.cpp                                 142                25    82.39%           9                 0   100.00%         152                14    90.79%         162                29    82.10%
Pic1654s.h                                    10                 6    40.00%           7                 6    14.29%          10                 9    10.00%           2                 0   100.00%
PlatformCompact.cpp                          107               107     0.00%          12                12     0.00%         114               114     0.00%          76                76     0.00%
PlatformComposers.cpp                         15                15     0.00%           1                 1     0.00%          28                28     0.00%          26                26     0.00%
PlatformCompositionSupport.h                   2                 2     0.00%           2                 2     0.00%           7                 7     0.00%           0                 0         -
PlatformDafb.cpp                             358               358     0.00%          28                28     0.00%         394               394     0.00%         268               268     0.00%
PlatformDuo.cpp                               41                41     0.00%          10                10     0.00%          72                72     0.00%          26                26     0.00%
PlatformSonora.cpp                           118               118     0.00%          15                15     0.00%         186               186     0.00%          74                74     0.00%
PlatformToby.cpp                             170               170     0.00%          24                24     0.00%         220               220     0.00%         110               110     0.00%
PlatformV8.cpp                               130               130     0.00%          12                12     0.00%         127               127     0.00%          94                94     0.00%
ProcessEnvironment.cpp                         4                 4     0.00%           1                 1     0.00%           7                 7     0.00%           4                 4     0.00%
PseudoVia.cpp                                127                13    89.76%           8                 1    87.50%         124                 9    92.74%         112                18    83.93%
PseudoVia.h                                    5                 2    60.00%           4                 2    50.00%           4                 2    50.00%           0                 0         -
