SCSI disk: hdv/MacOS-8.1-boot.vhd attached
PRAM: q605_trace.pram loaded
-- ScrnBase($824)=$6DB6DB6D  MainDevice=$FFFFFFFF PixMap=$FFFFFFFF
--   PixMap baseAddr=$FFB6DB6D rowBytes=14043 depth=46811 bounds=(28086,56173,46811,28086)
-- render fbBase=$F9000000 off=$00000 640x480 stride=14043 bytes: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
-- wrote q605_boot_1bpp.pbm (640x480 1bpp stride 14043) --
-- wrote q605_boot.ppm (640x480 8bpp stride 14043 via CLUT) --
-- wrote q605_vram.raw (1MB) --
-- last 32 PCs --
  $408479B2  eor.l   D2, (A2)
  $408479B4  move.l  (A2)+, D2
  $408479B6  eor.l   D2, (A2)
  $408479B8  move.l  (A2)+, D2
  $408479BA  eor.l   D2, (A2)
  $408479BC  dbra    D3, $4084797c
  $4084797C  move.l  (A2)+, D2
  $4084797E  eor.l   D2, (A2)
  $40847980  move.l  (A2)+, D2
  $40847982  eor.l   D2, (A2)
  $40847984  move.l  (A2)+, D2
  $40847986  eor.l   D2, (A2)
  $40847988  move.l  (A2)+, D2
  $4084798A  eor.l   D2, (A2)
  $4084798C  move.l  (A2)+, D2
  $4084798E  eor.l   D2, (A2)
  $40847990  move.l  (A2)+, D2
  $40847992  eor.l   D2, (A2)
  $40847994  move.l  (A2)+, D2
  $40847996  eor.l   D2, (A2)
  $40847998  move.l  (A2)+, D2
  $4084799A  eor.l   D2, (A2)
  $4084799C  move.l  (A2)+, D2
  $4084799E  eor.l   D2, (A2)
  $408479A0  move.l  (A2)+, D2
  $408479A2  eor.l   D2, (A2)
  $408479A4  move.l  (A2)+, D2
  $408479A6  eor.l   D2, (A2)
  $408479A8  move.l  (A2)+, D2
  $408479AA  eor.l   D2, (A2)
  $408479AC  move.l  (A2)+, D2
  $408479AE  eor.l   D2, (A2)
-- SCSI: reads=0 writes=0 selects=0 commands=0 dmaBytes=0 lastCmd=$00 --
