sniffing 239.192.76.84:1954 for 60s
23:25:58 tag=0000485A 254->25 [2.125->1.25] NBP sock 2->254 LkUp-Reply x1 | POM68K:AFPServer@* at 2.125:128
23:25:59 tag=43D4D32C 25->254 [local] NBP sock 254->2 BrRq x1 | =:AFPServer@* at 1.25:254
23:25:59 tag=0000485A 254->255 [local] NBP sock 2->2 LkUp x1 | =:AFPServer@* at 1.25:254
23:25:59 tag=0000485A 254->25 [2.125->1.25] NBP sock 2->254 LkUp-Reply x1 | POM68K:AFPServer@* at 2.125:128
23:26:00 tag=43D4D32C 25->254 [local] NBP sock 254->2 BrRq x1 | =:AFPServer@* at 1.25:254
23:26:00 tag=0000485A 254->255 [local] NBP sock 2->2 LkUp x1 | =:AFPServer@* at 1.25:254
23:26:00 tag=0000485A 254->25 [2.125->1.25] NBP sock 2->254 LkUp-Reply x1 | POM68K:AFPServer@* at 2.125:128
23:26:01 tag=43D4D32C 25->254 [local] NBP sock 254->2 BrRq x1 | =:AFPServer@* at 1.25:254
23:26:01 tag=0000485A 254->255 [local] NBP sock 2->2 LkUp x1 | =:AFPServer@* at 1.25:254
23:26:01 tag=0000485A 254->25 [2.125->1.25] NBP sock 2->254 LkUp-Reply x1 | POM68K:AFPServer@* at 2.125:128
23:26:02 tag=43D4D32C 25->254 [local] NBP sock 254->2 BrRq x1 | =:AFPServer@* at 1.25:254
23:26:02 tag=0000485A 254->255 [local] NBP sock 2->2 LkUp x1 | =:AFPServer@* at 1.25:254
23:26:02 tag=0000485A 254->25 [2.125->1.25] NBP sock 2->254 LkUp-Reply x1 | POM68K:AFPServer@* at 2.125:128
23:26:03 tag=43D4D32C 25->254 [local] NBP sock 254->2 BrRq x1 | =:AFPServer@* at 1.25:254
23:26:03 tag=0000485A 254->255 [local] NBP sock 2->2 LkUp x1 | =:AFPServer@* at 1.25:254
23:26:03 tag=0000485A 254->25 [2.125->1.25] NBP sock 2->254 LkUp-Reply x1 | POM68K:AFPServer@* at 2.125:128
23:26:04 tag=43D4D32C 25->254 [local] NBP sock 254->2 BrRq x1 | =:AFPServer@* at 1.25:254
23:26:04 tag=0000485A 254->255 [local] NBP sock 2->2 LkUp x1 | =:AFPServer@* at 1.25:254
23:26:04 tag=0000485A 254->25 [2.125->1.25] NBP sock 2->254 LkUp-Reply x1 | POM68K:AFPServer@* at 2.125:128
23:26:04 tag=43D4D32C 25->254 [local] NBP sock 254->2 BrRq x1 | =:AFPServer@* at 1.25:254
23:26:04 tag=0000485A 254->255 [local] NBP sock 2->2 LkUp x1 | =:AFPServer@* at 1.25:254
23:26:04 tag=0000485A 254->25 [2.125->1.25] NBP sock 2->254 LkUp-Reply x1 | POM68K:AFPServer@* at 2.125:128
23:26:05 tag=43D4D32C 25->254 [local] NBP sock 254->2 BrRq x1 | =:AFPServer@* at 1.25:254
23:26:05 tag=0000485A 254->255 [local] NBP sock 2->2 LkUp x1 | =:AFPServer@* at 1.25:254
